"Cylinders","Displacement","Horsepower","Weight","Acceleration","Modelyear","Origin","Carname","Class"
8,305,"145.0",85,13.2,78,1,"chevrolet monte carlo landau","GasGuz"
6,231,"165.0",76,13.4,78,1,"buick regal sport coupe (turbo)","GasGuz"
8,302,"139.0",79,11.2,78,1,"ford futura","GasGuz"
8,318,"140.0",74,13.7,78,1,"dodge magnum xe","GasGuz"
4,134,"95.00",85,14.8,78,3,"toyota celica gt liftback","GasGuz"
4,156,"105.0",80,16.7,78,1,"plymouth sapporo","GasGuz"
5,131,"103.0",73,15.9,78,2,"audi 5000","GasGuz"
6,163,"125.0",70,13.6,78,2,"volvo 264gl","GasGuz"
4,121,"115.0",71,15.7,78,2,"saab 99gle","GasGuz"
6,163,"133.0",78,15.8,78,2,"peugeot 604sl","GasGuz"
6,231,"115.0",76,15.4,79,1,"pontiac lemans v6","GasGuz"
6,200,"85.00",74,18.2,79,1,"mercury zephyr 6","GasGuz"
4,140,"88.00",79,17.3,79,1,"ford fairmont 4","GasGuz"
6,232,"90.00",83,18.2,79,1,"amc concord dl 6","GasGuz"
6,225,"110.0",74,16.6,79,1,"dodge aspen 6","GasGuz"
8,305,"130.0",80,15.4,79,1,"chevrolet caprice classic","GasGuz"
8,302,"129.0",80,13.4,79,1,"ford ltd landau","GasGuz"
8,351,"138.0",84,13.2,79,1,"mercury grand marquis","GasGuz"
8,318,"135.0",70,15.2,79,1,"dodge st. regis","GasGuz"
8,350,"155.0",78,14.9,79,1,"buick estate wagon (sw)","GasGuz"
8,351,"142.0",71,14.3,79,1,"ford country squire (sw)","GasGuz"
8,267,"125.0",72,15,79,1,"chevrolet malibu classic (sw)","GasGuz"
8,360,"150.0",84,13,79,1,"chrysler lebaron town @ country (sw)","GasGuz"
8,350,"125.0",70,17.4,79,1,"cadillac eldorado","GasGuz"
6,225,"90.00",76,18.7,80,1,"dodge aspen","GasGuz"
6,173,"110.0",75,12.6,81,1,"chevrolet citation","GasGuz"
6,231,"110.0",84,15.8,81,1,"buick century","GasGuz"
6,200,"88.00",142,17.1,81,1,"ford granada gl","GasGuz"
6,225,"85.00",146,16.6,81,1,"chrysler lebaron salon","GasGuz"
4,151,"?",146,20.5,82,1,"amc concord dl","GasGuz"
6,232,"112.0",80,14.7,82,1,"ford granada l","GasGuz"
4,113,"95.00",73,15,70,3,"toyota corona mark ii","FuEff"
4,97,"88.00",72,14.5,70,3,"datsun pl510","FuEff"
4,97,"46.00",71,20.5,70,2,"volkswagen 1131 deluxe sedan","FuEff"
4,110,"87.00",84,17.5,70,2,"peugeot 504","FuEff"
4,107,"90.00",79,14.5,70,2,"audi 100 ls","FuEff"
4,104,"95.00",75,17.5,70,2,"saab 99e","FuEff"
4,121,"113.0",78,12.5,70,2,"bmw 2002","FuEff"
4,97,"88.00",85,14.5,71,3,"datsun pl510","FuEff"
4,140,"90.00",85,15.5,71,1,"chevrolet vega 2300","FuEff"
4,113,"95.00",82,14,71,3,"toyota corona","FuEff"
4,98,"?",70,19,71,1,"ford pinto","FuEff"
4,116,"90.00",77,14,71,2,"opel 1900","FuEff"
4,79,"70.00",82,19.5,71,2,"peugeot 304","FuEff"
4,88,"76.00",84,14.5,71,2,"fiat 124b","FuEff"
4,71,"65.00",72,19,71,3,"toyota corolla 1200","FuEff"
4,72,"69.00",82,18,71,3,"datsun 1200","FuEff"
4,97,"60.00",77,19,71,2,"volkswagen model 111","FuEff"
4,91,"70.00",75,20.5,71,1,"plymouth cricket","FuEff"
4,113,"95.00",75,15.5,72,3,"toyota corona hardtop","FuEff"
4,97.5,"80.00",75,17,72,1,"dodge colt hardtop","FuEff"
4,96,"69.00",71,18,72,2,"renault 12 (sw)","FuEff"
4,97,"92.00",85,17,72,3,"datsun 510 (sw)","FuEff"
4,98,"80.00",80,15,72,1,"dodge colt (sw)","FuEff"
4,97,"88.00",77,16.5,72,3,"toyota corolla 1600 (sw)","FuEff"
4,97,"46.00",70,21,73,2,"volkswagen super beetle","FuEff"
4,98,"90.00",85,15.5,73,2,"fiat 124 sport coupe","FuEff"
4,68,"49.00",79,19.5,73,2,"fiat 128","FuEff"
4,116,"75.00",83,15.5,73,2,"opel manta","FuEff"
4,121,"110.0",83,14,73,2,"saab 99le","FuEff"
4,79,"67.00",71,19,74,3,"datsun b210","FuEff"
4,122,"80.00",74,16.5,74,1,"ford pinto","FuEff"
4,71,"65.00",82,21,74,3,"toyota corolla 1200","FuEff"
4,140,"75.00",70,17,74,1,"chevrolet vega","FuEff"
4,98,"83.00",74,16.5,74,2,"audi fox","FuEff"
4,79,"67.00",76,15.5,74,2,"volkswagen dasher","FuEff"
4,97,"78.00",75,14.5,74,2,"opel manta","FuEff"
4,76,"52.00",78,16.5,74,3,"toyota corona","FuEff"
4,83,"61.00",70,19,74,3,"datsun 710","FuEff"
4,90,"75.00",72,14.5,74,1,"dodge colt","FuEff"
4,90,"75.00",74,15.5,74,2,"fiat 128","FuEff"
4,116,"75.00",81,14,74,2,"fiat 124 tc","FuEff"
4,120,"97.00",79,15,74,3,"honda civic","FuEff"
4,108,"93.00",82,15.5,74,3,"subaru","FuEff"
4,79,"67.00",73,16,74,2,"fiat x1.9","FuEff"
4,97,"75.00",73,16,75,3,"toyota corolla","FuEff"
4,134,"96.00",81,13.5,75,3,"toyota corona","FuEff"
4,90,"71.00",73,16.5,75,2,"volkswagen dasher","FuEff"
4,119,"97.00",76,17,75,3,"datsun 710","FuEff"
4,90,"70.00",84,14,75,2,"volkswagen rabbit","FuEff"
4,121,"115.0",77,13.5,75,2,"saab 99le","FuEff"
4,91,"53.00",76,17.5,75,3,"honda civic cvcc","FuEff"
4,107,"86.00",71,15.5,76,2,"fiat 131","FuEff"
4,116,"81.00",76,16.9,76,2,"opel 1900","FuEff"
4,140,"92.00",80,14.9,76,1,"capri ii","FuEff"
4,98,"79.00",83,17.7,76,1,"dodge colt","FuEff"
4,101,"83.00",72,15.3,76,2,"renault 12tl","FuEff"
6,200,"81.00",83,17.6,76,1,"ford maverick","FuEff"
4,85,"52.00",71,22.2,76,1,"chevrolet chevette","FuEff"
4,98,"60.00",74,22.1,76,1,"chevrolet woody","FuEff"
4,90,"70.00",84,14.2,76,2,"vw rabbit","FuEff"
4,91,"53.00",75,17.4,76,3,"honda civic","FuEff"
4,97,"71.00",78,12.2,76,2,"volkswagen rabbit","FuEff"
4,85,"70.00",77,17,76,3,"datsun b-210","FuEff"
4,97,"75.00",78,16.4,76,3,"toyota corolla","FuEff"
4,140,"72.00",75,13.6,76,1,"ford pinto","FuEff"
4,98,"68.00",77,18.5,77,3,"honda accord cvcc","FuEff"
4,111,"80.00",74,14.8,77,1,"buick opel isuzu deluxe","FuEff"
4,79,"58.00",75,18.6,77,2,"renault 5 gtl","FuEff"
4,122,"96.00",78,15.5,77,1,"plymouth arrow gs","FuEff"
4,85,"70.00",75,16.8,77,3,"datsun f-10 hatchback","FuEff"
4,97,"78.00",72,14.5,77,2,"volkswagen rabbit custom","FuEff"
4,151,"88.00",81,16,77,1,"pontiac sunbird coupe","FuEff"
4,97,"75.00",77,18.2,77,3,"toyota corolla liftback","FuEff"
4,140,"89.00",83,15.8,77,1,"ford mustang ii 2+2","FuEff"
4,98,"63.00",82,17,77,1,"chevrolet chevette","FuEff"
4,98,"83.00",71,15.9,77,1,"dodge colt m/m","FuEff"
4,97,"67.00",76,16.4,77,3,"subaru dl","FuEff"
4,97,"78.00",70,14.1,77,2,"volkswagen dasher","FuEff"
4,90,"48.00",71,21.5,78,2,"volkswagen rabbit custom diesel","FuEff"
4,98,"66.00",74,14.4,78,1,"ford fiesta","FuEff"
4,78,"52.00",79,19.4,78,3,"mazda glc deluxe","FuEff"
4,85,"70.00",74,18.6,78,3,"datsun b210 gx","FuEff"
4,91,"60.00",82,16.4,78,3,"honda civic cvcc","FuEff"
4,140,"88.00",71,15.4,78,1,"ford fairmont (man)","FuEff"
4,98,"68.00",85,16.5,78,1,"chevrolet chevette","FuEff"
4,134,"95.00",75,14.2,78,3,"toyota corona","FuEff"
4,119,"97.00",81,14.7,78,3,"datsun 510","FuEff"
4,105,"75.00",76,14.5,78,1,"dodge omni","FuEff"
4,151,"85.00",72,17.6,78,1,"oldsmobile starfire sx","FuEff"
4,119,"97.00",72,14.9,78,3,"datsun 200-sx","FuEff"
4,89,"71.00",77,14.9,78,2,"volkswagen scirocco","FuEff"
4,98,"68.00",81,16.6,78,3,"honda accord lx","FuEff"
4,89,"71.00",77,14,79,2,"vw rabbit custom","FuEff"
4,86,"65.00",79,15.2,79,3,"maxda glc deluxe","FuEff"
4,98,"80.00",72,14.4,79,1,"dodge colt hatchback custom","FuEff"
4,121,"80.00",74,15,79,1,"amc spirit dl","FuEff"
5,183,"77.00",74,20.1,79,2,"mercedes benz 300d","FuEff"
4,141,"71.00",82,24.8,79,2,"peugeot 504","FuEff"
8,260,"90.00",80,22.2,79,1,"oldsmobile cutlass salon brougham","FuEff"
4,105,"70.00",78,13.2,79,1,"plymouth horizon","FuEff"
4,105,"70.00",75,14.9,79,1,"plymouth horizon tc3","FuEff"
4,85,"65.00",83,19.2,79,3,"datsun 210","FuEff"
4,91,"69.00",85,14.7,79,2,"fiat strada custom","FuEff"
4,151,"90.00",84,16,79,1,"buick skylark limited","FuEff"
6,173,"115.0",78,11.3,79,1,"chevrolet citation","FuEff"
6,173,"115.0",71,12.9,79,1,"oldsmobile omega brougham","FuEff"
4,151,"90.00",80,13.2,79,1,"pontiac phoenix","FuEff"
4,98,"76.00",71,14.7,80,2,"vw rabbit","FuEff"
4,89,"60.00",75,18.8,80,3,"toyota corolla tercel","FuEff"
4,98,"70.00",73,15.5,80,1,"chevrolet chevette","FuEff"
4,86,"65.00",73,16.4,80,3,"datsun 310","FuEff"
4,151,"90.00",82,16.5,80,1,"chevrolet citation","FuEff"
4,140,"88.00",78,18.1,80,1,"ford fairmont","FuEff"
4,151,"90.00",84,20.1,80,1,"amc concord","FuEff"
4,97,"78.00",73,15.8,80,2,"audi 4000","FuEff"
4,134,"90.00",76,15.5,80,3,"toyota corona liftback","FuEff"
4,120,"75.00",73,17.5,80,3,"mazda 626","FuEff"
4,119,"92.00",84,15,80,3,"datsun 510 hatchback","FuEff"
4,108,"75.00",84,15.2,80,3,"toyota corolla","FuEff"
4,86,"65.00",82,17.9,80,3,"mazda glc","FuEff"
4,156,"105.0",80,14.4,80,1,"dodge colt","FuEff"
4,85,"65.00",78,19.2,80,3,"datsun 210","FuEff"
4,90,"48.00",81,21.7,80,2,"vw rabbit c (diesel)","FuEff"
4,90,"48.00",71,23.7,80,2,"vw dasher (diesel)","FuEff"
5,121,"67.00",74,19.9,80,2,"audi 5000s (diesel)","FuEff"
4,146,"67.00",72,21.8,80,2,"mercedes-benz 240d","FuEff"
4,91,"67.00",71,13.8,80,3,"honda civic 1500 gl","FuEff"
4,85,"?",76,17.3,80,2,"renault lecar deluxe","FuEff"
4,97,"67.00",75,18,80,3,"subaru dl","FuEff"
4,89,"62.00",78,15.3,80,2,"vokswagen rabbit","FuEff"
6,168,"132.0",80,11.4,80,3,"datsun 280-zx","FuEff"
3,70,"100.0",82,12.5,80,3,"mazda rx-7 gs","FuEff"
4,122,"88.00",75,15.1,80,2,"triumph tr7 coupe","FuEff"
4,140,"?",79,14.3,80,1,"ford mustang cobra","FuEff"
4,107,"72.00",81,17,80,3,"honda accord","FuEff"
4,135,"84.00",85,15.7,81,1,"plymouth reliant","FuEff"
4,151,"84.00",78,16.4,81,1,"buick skylark","FuEff"
4,156,"92.00",82,14.4,81,1,"dodge aries wagon (sw)","FuEff"
4,135,"84.00",85,12.9,81,1,"plymouth reliant","FuEff"
4,79,"58.00",85,16.9,81,3,"toyota starlet","FuEff"
4,86,"64.00",76,16.4,81,1,"plymouth champ","FuEff"
4,81,"60.00",82,16.1,81,3,"honda civic 1300","FuEff"
4,97,"67.00",84,17.8,81,3,"subaru","FuEff"
4,85,"65.00",82,19.4,81,3,"datsun 210 mpg","FuEff"
4,89,"62.00",80,17.3,81,3,"toyota tercel","FuEff"
4,91,"68.00",80,16,81,3,"mazda glc 4","FuEff"
4,105,"63.00",85,14.9,81,1,"plymouth horizon 4","FuEff"
4,98,"65.00",77,16.2,81,1,"ford escort 4w","FuEff"
4,98,"65.00",79,20.7,81,1,"ford escort 2h","FuEff"
4,105,"74.00",72,14.2,81,2,"volkswagen jetta","FuEff"
4,100,"?",75,15.8,81,2,"renault 18i","FuEff"
4,107,"75.00",81,14.4,81,3,"honda prelude","FuEff"
4,108,"75.00",73,16.8,81,3,"toyota corolla","FuEff"
4,119,"100.0",81,14.8,81,3,"datsun 200sx","FuEff"
4,120,"74.00",83,18.3,81,3,"mazda 626","FuEff"
4,141,"80.00",78,20.4,81,2,"peugeot 505s turbo diesel","FuEff"
6,145,"76.00",72,19.6,81,2,"volvo diesel","FuEff"
6,168,"116.0",71,12.6,81,3,"toyota cressida","FuEff"
6,146,"120.0",78,13.8,81,3,"datsun 810 maxima","FuEff"
8,350,"105.0",71,19,81,1,"oldsmobile cutlass ls","FuEff"
4,112,"88.00",72,19.6,82,1,"chevrolet cavalier","FuEff"
4,112,"88.00",76,18.6,82,1,"chevrolet cavalier wagon","FuEff"
4,112,"88.00",82,18,82,1,"chevrolet cavalier 2-door","FuEff"
4,112,"85.00",76,16.2,82,1,"pontiac j2000 se hatchback","FuEff"
4,135,"84.00",75,16,82,1,"dodge aries se","FuEff"
4,151,"90.00",85,18,82,1,"pontiac phoenix","FuEff"
4,140,"92.00",84,16.4,82,1,"ford fairmont futura","FuEff"
4,105,"74.00",72,15.3,82,2,"volkswagen rabbit l","FuEff"
4,91,"68.00",74,18.2,82,3,"mazda glc custom l","FuEff"
4,91,"68.00",78,17.6,82,3,"mazda glc custom","FuEff"
4,105,"63.00",71,14.7,82,1,"plymouth horizon miser","FuEff"
4,98,"70.00",73,17.3,82,1,"mercury lynx l","FuEff"
4,120,"88.00",84,14.5,82,3,"nissan stanza xe","FuEff"
4,107,"75.00",85,14.5,82,3,"honda accord","FuEff"
4,108,"70.00",77,16.9,82,3,"toyota corolla","FuEff"
4,91,"67.00",80,15,82,3,"honda civic","FuEff"
4,91,"67.00",71,15.7,82,3,"honda civic (auto)","FuEff"
4,91,"67.00",80,16.2,82,3,"datsun 310 gx","FuEff"
6,181,"110.0",74,16.4,82,1,"buick century limited","FuEff"
6,262,"85.00",83,17,82,1,"oldsmobile cutlass ciera (diesel)","FuEff"
4,156,"92.00",76,14.5,82,1,"chrysler lebaron medallion","FuEff"
4,144,"96.00",83,13.9,82,3,"toyota celica gt","FuEff"
4,135,"84.00",76,13,82,1,"dodge charger 2.2","FuEff"
4,151,"90.00",72,17.3,82,1,"chevrolet camaro","FuEff"
4,140,"86.00",80,15.6,82,1,"ford mustang gl","FuEff"
4,97,"52.00",75,24.6,82,2,"vw pickup","FuEff"
4,135,"84.00",79,11.6,82,1,"dodge rampage","FuEff"
4,120,"79.00",84,18.6,82,1,"ford ranger","FuEff"
4,119,"82.00",74,19.4,82,1,"chevy s-10","FuEff"
