,Zip Code,City,County,State,County Number,Area (sqkm)
46,50062,MELCHER-DALLAS,Marion,IA,63,80.104319
47,50063,DALLAS CENTER,Dallas,IA,25,170.532757
48,50064,DANA,Greene,IA,37,40.418909
49,50065,DAVIS CITY,Decatur,IA,27,147.902989
50,50066,DAWSON,Dallas,IA,25,64.732191
51,50067,DECATUR,Decatur,IA,27,87.093517
52,50068,DERBY,Lucas,IA,59,114.749633
53,50069,DE SOTO,Dallas,IA,25,13.262492
54,50070,DEXTER,Dallas,IA,25,171.070769
55,50071,DOWS,Wright,IA,99,293.114182
56,50072,EARLHAM,Madison,IA,61,228.908869
57,50073,ELKHART,Polk,IA,77,67.420142
58,50074,ELLSTON,Ringgold,IA,80,127.815922
59,50075,ELLSWORTH,Hamilton,IA,40,119.369391
60,50076,EXIRA,Audubon,IA,5,290.651382
61,50078,FERGUSON,Marshall,IA,64,0.660699
62,50101,GALT,Wright,IA,99,25.431226
63,50102,GARDEN CITY,Hardin,IA,42,1.304963
64,50103,GARDEN GROVE,Decatur,IA,27,157.409444
65,50104,GIBSON,Keokuk,IA,54,28.94056
66,50105,GILBERT,Story,IA,85,20.560447
67,50106,GILMAN,Marshall,IA,64,170.141114
68,50107,GRAND JUNCTION,Greene,IA,37,130.433186
69,50108,GRAND RIVER,Decatur,IA,27,188.608107
70,50109,GRANGER,Polk,IA,77,62.757235
71,50111,GRIMES,Polk,IA,77,71.484606
72,50112,GRINNELL,Poweshiek,IA,79,475.672153
73,50115,GUTHRIE CENTER,Guthrie,IA,39,441.185334
74,50116,HAMILTON,Marion,IA,63,44.071754
75,50117,HAMLIN,Audubon,IA,5,71.65718
76,50118,HARTFORD,Warren,IA,91,51.466255
77,50119,HARVEY,Marion,IA,63,40.354632
78,50120,HAVERHILL,Marshall,IA,64,43.94135
79,50122,HUBBARD,Hardin,IA,42,218.621364
80,50123,HUMESTON,Wayne,IA,93,204.584834
81,50124,HUXLEY,Story,IA,85,54.098688
82,50125,INDIANOLA,Warren,IA,91,426.521944
83,50126,IOWA FALLS,Hardin,IA,42,351.87483
84,50127,IRA,Jasper,IA,50,0.02826
85,50128,JAMAICA,Guthrie,IA,39,75.898812
86,50129,JEFFERSON,Greene,IA,37,435.65865
87,50130,JEWELL,Hamilton,IA,40,171.933052
88,50131,JOHNSTON,Polk,IA,77,64.666939
89,50132,KAMRAR,Hamilton,IA,40,74.609258
90,50133,KELLERTON,Ringgold,IA,80,196.966937
91,50134,KELLEY,Story,IA,85,48.427675
92,50135,KELLOGG,Jasper,IA,50,195.278764
93,50136,KESWICK,Keokuk,IA,54,100.632209
94,50138,KNOXVILLE,Marion,IA,63,461.827288
95,50139,LACONA,Warren,IA,91,229.508368
96,50140,LAMONI,Decatur,IA,27,241.678133
97,50141,LAUREL,Marshall,IA,64,93.777481
98,50142,LE GRAND,Marshall,IA,64,2.566675
99,50143,LEIGHTON,Mahaska,IA,62,92.958086
100,50144,LEON,Decatur,IA,27,362.605062
101,50146,LINDEN,Dallas,IA,25,75.845999
102,50147,LINEVILLE,Wayne,IA,93,187.491745
103,50148,LISCOMB,Marshall,IA,64,51.098115
104,50149,LORIMOR,Union,IA,88,213.449691
105,50150,LOVILIA,Monroe,IA,68,148.536678
106,50151,LUCAS,Lucas,IA,59,205.563843
107,50153,LYNNVILLE,Jasper,IA,50,80.372194
108,50154,MC CALLSBURG,Story,IA,85,53.144166
109,50155,MACKSBURG,Madison,IA,61,78.50132
110,50156,MADRID,Boone,IA,8,238.724015
111,50157,MALCOM,Poweshiek,IA,79,168.389373
112,50158,MARSHALLTOWN,Marshall,IA,64,548.346934
113,50160,MARTENSDALE,Warren,IA,91,0.965184
114,50161,MAXWELL,Story,IA,85,211.812219
115,50162,MELBOURNE,Marshall,IA,64,132.120698
116,50163,MELCHER-DALLAS,Marion,IA,63,1.230059
117,50164,MENLO,Guthrie,IA,39,138.23504
118,50165,MILLERTON,Wayne,IA,93,6.437634
119,50166,MILO,Warren,IA,91,162.522428
120,50167,MINBURN,Dallas,IA,25,102.610498
121,50168,MINGO,Jasper,IA,50,104.773461
122,50169,MITCHELLVILLE,Polk,IA,77,103.378565
123,50170,MONROE,Jasper,IA,50,230.99503
124,50171,MONTEZUMA,Poweshiek,IA,79,281.675684
125,50173,MONTOUR,Tama,IA,86,80.140704
126,50174,MURRAY,Clarke,IA,20,278.718495
127,50201,NEVADA,Story,IA,85,300.453642
128,50206,NEW PROVIDENCE,Hardin,IA,42,124.182004
129,50207,NEW SHARON,Mahaska,IA,62,366.588282
130,50208,NEWTON,Jasper,IA,50,426.046663
131,50210,NEW VIRGINIA,Warren,IA,91,196.767136
132,50211,NORWALK,Warren,IA,91,147.182178
133,50212,OGDEN,Boone,IA,8,352.230522
134,50213,OSCEOLA,Clarke,IA,20,543.975469
135,50214,OTLEY,Marion,IA,63,102.571148
136,50216,PANORA,Guthrie,IA,39,145.699881
137,50217,PATON,Greene,IA,37,178.606122
138,50218,PATTERSON,Madison,IA,61,0.542828
139,50219,PELLA,Marion,IA,63,317.144262
140,50220,PERRY,Dallas,IA,25,268.176779
141,50222,PERU,Madison,IA,61,108.369441
142,50223,PILOT MOUND,Boone,IA,8,76.600548
143,50225,PLEASANTVILLE,Marion,IA,63,217.246336
144,50226,POLK CITY,Polk,IA,77,109.873855
145,50227,POPEJOY,Franklin,IA,35,0.966375
146,50228,PRAIRIE CITY,Jasper,IA,50,180.367188
147,50229,PROLE,Warren,IA,91,105.616644
148,50230,RADCLIFFE,Hardin,IA,42,223.982113
149,50231,RANDALL,Hamilton,IA,40,1.065168
150,50232,REASNOR,Jasper,IA,50,86.762448
151,50233,REDFIELD,Dallas,IA,25,130.640688
152,50234,RHODES,Marshall,IA,64,81.236093
153,50235,RIPPEY,Greene,IA,37,121.134316
154,50236,ROLAND,Story,IA,85,89.345522
155,50237,RUNNELLS,Polk,IA,77,146.002809
156,50238,RUSSELL,Lucas,IA,59,308.904729
157,50239,SAINT ANTHONY,Marshall,IA,64,44.053312
158,50240,SAINT CHARLES,Madison,IA,61,197.714047
159,50242,SEARSBORO,Poweshiek,IA,79,106.954493
160,50243,SHELDAHL,Story,IA,85,1.425493
161,50244,SLATER,Story,IA,85,57.130248
162,50244,SLATER,Story,IA,85,57.130248
163,50246,STANHOPE,Hamilton,IA,40,120.153227
164,50247,STATE CENTER,Marshall,IA,64,215.968634
165,50248,STORY CITY,Story,IA,85,211.580755
166,50249,STRATFORD,Hamilton,IA,40,202.332923
167,50250,STUART,Adair,IA,1,265.060086
168,50251,SULLY,Jasper,IA,50,104.817095
169,50252,SWAN,Marion,IA,63,22.861403
170,50254,THAYER,Union,IA,88,113.65365
171,50255,THORNBURG,Keokuk,IA,54,0.456756
172,50256,TRACY,Marion,IA,63,70.812037
173,50257,TRURO,Madison,IA,61,103.296613
174,50258,UNION,Hardin,IA,42,139.476319
175,50261,VAN METER,Madison,IA,61,173.242731
176,50262,VAN WERT,Decatur,IA,27,83.830606
177,50263,WAUKEE,Dallas,IA,25,90.002855
178,50264,WELDON,Decatur,IA,27,174.299474
179,50265,WEST DES MOINES,Polk,IA,77,46.466559
180,50266,WEST DES MOINES,Dallas,IA,25,43.060835
181,50268,WHAT CHEER,Keokuk,IA,54,123.524623
182,50271,WILLIAMS,Hamilton,IA,40,172.819803
183,50272,WILLIAMSON,Lucas,IA,59,1.922108
184,50273,WINTERSET,Madison,IA,61,519.17142
185,50274,WIOTA,Cass,IA,15,130.159776
186,50275,WOODBURN,Clarke,IA,20,131.849713
187,50276,WOODWARD,Dallas,IA,25,209.84696
188,50277,YALE,Guthrie,IA,39,104.624278
189,50278,ZEARING,Story,IA,85,138.864198
190,50309,DES MOINES,Polk,IA,77,7.776473
191,50310,DES MOINES,Polk,IA,77,21.123546
192,50311,DES MOINES,Polk,IA,77,6.511832
193,50312,DES MOINES,Polk,IA,77,15.05106
194,50313,DES MOINES,Polk,IA,77,47.635293
195,50314,DES MOINES,Polk,IA,77,6.629721
196,50315,DES MOINES,Polk,IA,77,26.560331
197,50316,DES MOINES,Polk,IA,77,9.302481
198,50317,DES MOINES,Polk,IA,77,60.041842
199,50319,DES MOINES,Polk,IA,77,0.213707
200,50320,DES MOINES,Polk,IA,77,49.547031
201,50321,DES MOINES,Polk,IA,77,30.969186
202,50322,URBANDALE,Polk,IA,77,27.938267
203,50323,URBANDALE,Dallas,IA,25,19.984131
204,50324,WINDSOR HEIGHTS,Polk,IA,77,3.74028
205,50325,CLIVE,Polk,IA,77,20.224117
206,50327,PLEASANT HILL,Polk,IA,77,49.702622
207,50401,MASON CITY,Cerro Gordo,IA,17,387.509792
208,50420,ALEXANDER,Franklin,IA,35,117.256906
209,50421,BELMOND,Wright,IA,99,232.911303
210,50423,BRITT,Hancock,IA,41,376.364842
211,50424,BUFFALO CENTER,Winnebago,IA,95,315.854649
212,50426,CARPENTER,Mitchell,IA,66,0.060113
213,50428,CLEAR LAKE,Cerro Gordo,IA,17,316.380154
214,50430,CORWITH,Hancock,IA,41,160.984015
215,50431,COULTER,Franklin,IA,35,1.936776
216,50432,CRYSTAL LAKE,Hancock,IA,41,1.127714
217,50433,DOUGHERTY,Cerro Gordo,IA,17,125.889253
218,50434,FERTILE,Worth,IA,98,23.487419
219,50435,FLOYD,Floyd,IA,34,105.304339
220,50436,FOREST CITY,Winnebago,IA,95,354.034151
221,50438,GARNER,Hancock,IA,41,342.63578
222,50439,GOODELL,Hancock,IA,41,84.706319
223,50440,GRAFTON,Worth,IA,98,80.665798
224,50441,HAMPTON,Franklin,IA,35,395.662654
225,50444,HANLONTOWN,Worth,IA,98,55.966912
226,50446,JOICE,Worth,IA,98,108.86978
227,50447,KANAWHA,Hancock,IA,41,261.433926
228,50448,KENSETT,Worth,IA,98,160.165797
229,50449,KLEMME,Hancock,IA,41,95.013046
230,50450,LAKE MILLS,Winnebago,IA,95,214.081289
231,50451,LAKOTA,Kossuth,IA,55,164.530815
232,50452,LATIMER,Franklin,IA,35,127.424687
233,50453,LELAND,Winnebago,IA,95,114.347611
234,50454,LITTLE CEDAR,Mitchell,IA,66,44.76636
235,50455,MC INTIRE,Mitchell,IA,66,84.207513
236,50456,MANLY,Worth,IA,98,120.430473
237,50457,MESERVEY,Cerro Gordo,IA,17,88.503707
238,50458,NORA SPRINGS,Floyd,IA,34,190.798489
239,50459,NORTHWOOD,Worth,IA,98,375.483499
240,50460,ORCHARD,Mitchell,IA,66,93.166151
241,50461,OSAGE,Mitchell,IA,66,446.474922
242,50464,PLYMOUTH,Cerro Gordo,IA,17,61.009266
243,50465,RAKE,Winnebago,IA,95,9.497218
244,50466,RICEVILLE,Howard,IA,45,354.341172
245,50467,ROCK FALLS,Cerro Gordo,IA,17,0.709984
246,50468,ROCKFORD,Floyd,IA,34,256.209489
247,50469,ROCKWELL,Cerro Gordo,IA,17,227.879604
248,50470,ROWAN,Wright,IA,99,62.885229
249,50471,RUDD,Floyd,IA,34,110.089036
250,50472,SAINT ANSGAR,Mitchell,IA,66,316.41701
251,50473,SCARVILLE,Winnebago,IA,95,96.000513
252,50475,SHEFFIELD,Franklin,IA,35,231.102519
253,50476,STACYVILLE,Mitchell,IA,66,101.702581
254,50477,SWALEDALE,Cerro Gordo,IA,17,58.455862
255,50478,THOMPSON,Winnebago,IA,95,191.575269
256,50479,THORNTON,Cerro Gordo,IA,17,150.266394
257,50480,TITONKA,Kossuth,IA,55,163.023328
258,50482,VENTURA,Cerro Gordo,IA,17,81.166123
259,50483,WESLEY,Kossuth,IA,55,198.210428
260,50484,WODEN,Hancock,IA,41,113.720772
261,50501,FORT DODGE,Webster,IA,94,407.21578
262,50510,ALBERT CITY,Buena Vista,IA,11,219.73212
263,50511,ALGONA,Kossuth,IA,55,321.723723
264,50514,ARMSTRONG,Emmet,IA,32,287.766282
265,50515,AYRSHIRE,Palo Alto,IA,74,96.076793
266,50516,BADGER,Webster,IA,94,63.984856
267,50517,BANCROFT,Kossuth,IA,55,198.110964
268,50518,BARNUM,Webster,IA,94,80.803741
269,50519,BODE,Humboldt,IA,46,142.395653
270,50520,BRADGATE,Humboldt,IA,46,62.072927
271,50521,BURNSIDE,Webster,IA,94,3.160848
272,50522,BURT,Kossuth,IA,55,176.225395
273,50523,CALLENDER,Webster,IA,94,109.190936
274,50524,CLARE,Webster,IA,94,148.535431
275,50525,CLARION,Wright,IA,99,363.773781
276,50527,CURLEW,Palo Alto,IA,74,141.597255
277,50528,CYLINDER,Palo Alto,IA,74,191.696767
278,50529,DAKOTA CITY,Humboldt,IA,46,1.445412
279,50530,DAYTON,Webster,IA,94,168.385319
280,50531,DOLLIVER,Emmet,IA,32,100.449294
281,50532,DUNCOMBE,Webster,IA,94,181.71793
282,50533,EAGLE GROVE,Wright,IA,99,258.50312
283,50535,EARLY,Sac,IA,81,158.492375
284,50536,EMMETSBURG,Palo Alto,IA,74,370.232494
285,50538,FARNHAMVILLE,Calhoun,IA,13,80.88901
286,50539,FENTON,Kossuth,IA,55,139.538906
287,50540,FONDA,Pocahontas,IA,76,275.625728
288,50541,GILMORE CITY,Humboldt,IA,46,237.749663
289,50542,GOLDFIELD,Wright,IA,99,172.884137
290,50543,GOWRIE,Webster,IA,94,212.824794
291,50544,HARCOURT,Webster,IA,94,75.465666
292,50545,HARDY,Humboldt,IA,46,97.252233
293,50546,HAVELOCK,Pocahontas,IA,76,137.019674
294,50548,HUMBOLDT,Humboldt,IA,46,323.465219
295,50551,JOLLEY,Calhoun,IA,13,69.704315
296,50554,LAURENS,Pocahontas,IA,76,232.762069
297,50556,LEDYARD,Kossuth,IA,55,101.116
298,50557,LEHIGH,Webster,IA,94,130.151481
299,50558,LIVERMORE,Humboldt,IA,46,114.721586
300,50559,LONE ROCK,Kossuth,IA,55,102.790935
301,50560,LU VERNE,Kossuth,IA,55,225.654488
302,50561,LYTTON,Calhoun,IA,13,119.358374
303,50562,MALLARD,Palo Alto,IA,74,165.098566
304,50563,MANSON,Calhoun,IA,13,253.318021
305,50565,MARATHON,Buena Vista,IA,11,114.004136
306,50566,MOORLAND,Webster,IA,94,89.865522
307,50567,NEMAHA,Sac,IA,81,67.326397
308,50568,NEWELL,Buena Vista,IA,11,220.071293
309,50569,OTHO,Webster,IA,94,54.889709
310,50570,OTTOSEN,Humboldt,IA,46,112.220748
311,50571,PALMER,Pocahontas,IA,76,115.641227
312,50573,PLOVER,Pocahontas,IA,76,1.045738
313,50574,POCAHONTAS,Pocahontas,IA,76,288.134473
314,50575,POMEROY,Calhoun,IA,13,163.4466
315,50576,REMBRANDT,Buena Vista,IA,11,93.051632
316,50577,RENWICK,Humboldt,IA,46,106.941323
317,50578,RINGSTED,Emmet,IA,32,192.331445
318,50579,ROCKWELL CITY,Calhoun,IA,13,359.119951
319,50581,ROLFE,Pocahontas,IA,76,246.722485
320,50582,RUTLAND,Humboldt,IA,46,53.572451
321,50583,SAC CITY,Sac,IA,81,306.359541
322,50585,SIOUX RAPIDS,Buena Vista,IA,11,165.291906
323,50586,SOMERS,Calhoun,IA,13,91.12132
324,50588,STORM LAKE,Buena Vista,IA,11,368.993698
325,50590,SWEA CITY,Kossuth,IA,55,203.980739
326,50591,THOR,Humboldt,IA,46,73.985552
327,50593,VARINA,Pocahontas,IA,76,0.480019
328,50594,VINCENT,Webster,IA,94,67.103128
329,50595,WEBSTER CITY,Hamilton,IA,40,399.609138
330,50597,WEST BEND,Palo Alto,IA,74,214.240511
331,50598,WHITTEMORE,Kossuth,IA,55,176.474137
332,50599,WOOLSTOCK,Wright,IA,99,133.057067
333,50601,ACKLEY,Franklin,IA,35,368.01212
334,50602,ALLISON,Butler,IA,12,207.455662
335,50603,ALTA VISTA,Chickasaw,IA,19,122.972014
336,50604,APLINGTON,Butler,IA,12,184.521061
337,50605,AREDALE,Butler,IA,12,38.865937
338,50606,ARLINGTON,Fayette,IA,33,184.315162
339,50607,AURORA,Buchanan,IA,10,123.088687
340,50609,BEAMAN,Grundy,IA,38,89.218598
341,50611,BRISTOW,Butler,IA,12,78.763743
342,50612,BUCKINGHAM,Tama,IA,86,57.581068
343,50613,CEDAR FALLS,Black Hawk,IA,7,329.972902
344,50616,CHARLES CITY,Floyd,IA,34,448.105088
345,50619,CLARKSVILLE,Butler,IA,12,230.86623
346,50620,COLWELL,Floyd,IA,34,0.324589
347,50621,CONRAD,Grundy,IA,38,165.399151
348,50622,DENVER,Bremer,IA,9,64.857976
349,50624,DIKE,Grundy,IA,38,135.187133
350,50625,DUMONT,Butler,IA,12,158.053593
351,50626,DUNKERTON,Black Hawk,IA,7,130.892804
352,50627,ELDORA,Hardin,IA,42,277.223505
353,50628,ELMA,Howard,IA,45,289.356789
354,50629,FAIRBANK,Buchanan,IA,10,205.328666
355,50630,FREDERICKSBURG,Chickasaw,IA,19,214.715992
356,50632,GARWIN,Tama,IA,86,110.25125
357,50632,GARWIN,Tama,IA,86,110.25125
358,50633,GENEVA,Franklin,IA,35,103.078532
359,50634,GILBERTVILLE,Black Hawk,IA,7,1.018252
360,50635,GLADBROOK,Tama,IA,86,217.592812
361,50636,GREENE,Butler,IA,12,313.519052
362,50638,GRUNDY CENTER,Grundy,IA,38,245.826479
363,50641,HAZLETON,Buchanan,IA,10,123.019787
364,50642,HOLLAND,Grundy,IA,38,83.404671
365,50643,HUDSON,Black Hawk,IA,7,163.108458
366,50644,INDEPENDENCE,Buchanan,IA,10,372.595201
367,50645,IONIA,Chickasaw,IA,19,214.246026
368,50647,JANESVILLE,Bremer,IA,9,79.06534
369,50648,JESUP,Black Hawk,IA,7,223.212718
370,50650,LAMONT,Buchanan,IA,10,106.756415
371,50651,LA PORTE CITY,Black Hawk,IA,7,294.627077
372,50652,LINCOLN,Tama,IA,86,0.605668
373,50653,MARBLE ROCK,Floyd,IA,34,134.748744
374,50654,MASONVILLE,Delaware,IA,28,136.18815
375,50655,MAYNARD,Fayette,IA,33,91.05168
376,50658,NASHUA,Chickasaw,IA,19,187.097603
377,50659,NEW HAMPTON,Chickasaw,IA,19,403.802766
378,50660,NEW HARTFORD,Butler,IA,12,100.165022
379,50662,OELWEIN,Fayette,IA,33,176.049517
380,50664,ORAN,Fayette,IA,33,0.09535
381,50665,PARKERSBURG,Butler,IA,12,253.290828
382,50666,PLAINFIELD,Bremer,IA,9,140.256035
383,50667,RAYMOND,Black Hawk,IA,7,5.217793
384,50668,READLYN,Bremer,IA,9,87.689572
385,50669,REINBECK,Grundy,IA,38,239.750053
386,50670,SHELL ROCK,Butler,IA,12,148.931701
387,50671,STANLEY,Buchanan,IA,10,57.533274
388,50672,STEAMBOAT ROCK,Hardin,IA,42,94.993283
389,50673,STOUT,Grundy,IA,38,0.444167
390,50674,SUMNER,Bremer,IA,9,408.690075
391,50675,TRAER,Tama,IA,86,287.237436
392,50676,TRIPOLI,Bremer,IA,9,148.867149
393,50677,WAVERLY,Bremer,IA,9,325.186841
394,50680,WELLSBURG,Grundy,IA,38,138.682394
395,50681,WESTGATE,Fayette,IA,33,63.049395
396,50682,WINTHROP,Buchanan,IA,10,220.98261
397,50701,WATERLOO,Black Hawk,IA,7,214.718743
398,50702,WATERLOO,Black Hawk,IA,7,25.60849
399,50703,WATERLOO,Black Hawk,IA,7,244.724015
400,50707,EVANSDALE,Black Hawk,IA,7,25.361881
401,50801,CRESTON,Union,IA,88,545.028688
402,50830,AFTON,Union,IA,88,306.617835
403,50833,BEDFORD,Taylor,IA,87,536.325319
404,50835,BENTON,Ringgold,IA,80,43.994784
405,50836,BLOCKTON,Taylor,IA,87,232.828727
406,50837,BRIDGEWATER,Adair,IA,1,130.795854
407,50839,CARBON,Adams,IA,2,1.828417
408,50840,CLEARFIELD,Taylor,IA,87,129.94877
409,50841,CORNING,Adams,IA,2,610.836196
410,50842,CROMWELL,Union,IA,88,0.674912
411,50843,CUMBERLAND,Cass,IA,15,195.866561
412,50845,DIAGONAL,Ringgold,IA,80,285.590236
413,50846,FONTANELLE,Adair,IA,1,238.867152
414,50847,GRANT,Montgomery,IA,69,0.863108
415,50848,GRAVITY,Taylor,IA,87,117.720194
416,50849,GREENFIELD,Adair,IA,1,304.431532
417,50851,LENOX,Taylor,IA,87,335.214398
418,50853,MASSENA,Cass,IA,15,195.987739
419,50854,MOUNT AYR,Ringgold,IA,80,350.941226
420,50857,NODAWAY,Adams,IA,2,131.265143
421,50858,ORIENT,Adair,IA,1,206.99525
422,50859,PRESCOTT,Adams,IA,2,206.490726
423,50860,REDDING,Ringgold,IA,80,115.136578
424,50861,SHANNON CITY,Union,IA,88,113.520838
425,50862,SHARPSBURG,Taylor,IA,87,56.218206
426,50863,TINGLEY,Ringgold,IA,80,78.178667
427,50864,VILLISCA,Montgomery,IA,69,377.642994
428,51001,AKRON,Plymouth,IA,75,360.862327
429,51002,ALTA,Buena Vista,IA,11,297.148464
430,51003,ALTON,Sioux,IA,84,144.371109
431,51004,ANTHON,Woodbury,IA,97,212.848541
432,51005,AURELIA,Cherokee,IA,18,244.17026
433,51006,BATTLE CREEK,Ida,IA,47,213.095547
434,51007,BRONSON,Woodbury,IA,97,87.318034
435,51008,BRUNSVILLE,Plymouth,IA,75,0.630646
436,51009,CALUMET,O'Brien,IA,71,0.611821
437,51010,CASTANA,Monona,IA,67,176.313125
438,51011,CHATSWORTH,Sioux,IA,84,1.275286
439,51012,CHEROKEE,Cherokee,IA,18,386.838104
440,51014,CLEGHORN,Cherokee,IA,18,139.646952
441,51016,CORRECTIONVILLE,Woodbury,IA,97,262.895432
442,51018,CUSHING,Woodbury,IA,97,95.118381
443,51019,DANBURY,Woodbury,IA,97,236.787928
444,51020,GALVA,Ida,IA,47,140.577018
445,51022,GRANVILLE,Sioux,IA,84,204.082524
446,51023,HAWARDEN,Sioux,IA,84,271.44549
447,51024,HINTON,Plymouth,IA,75,232.728447
448,51025,HOLSTEIN,Ida,IA,47,278.402985
449,51026,HORNICK,Woodbury,IA,97,281.235872
450,51027,IRETON,Sioux,IA,84,239.835719
451,51028,KINGSLEY,Plymouth,IA,75,328.930974
452,51029,LARRABEE,Cherokee,IA,18,58.631884
453,51030,LAWTON,Woodbury,IA,97,153.939315
454,51031,LE MARS,Plymouth,IA,75,605.111843
455,51033,LINN GROVE,Buena Vista,IA,11,163.475339
456,51034,MAPLETON,Monona,IA,67,290.876284
457,51035,MARCUS,Cherokee,IA,18,278.97681
458,51036,MAURICE,Sioux,IA,84,114.229271
459,51037,MERIDEN,Cherokee,IA,18,61.66748
460,51038,MERRILL,Plymouth,IA,75,233.828323
461,51039,MOVILLE,Woodbury,IA,97,223.159311
462,51040,ONAWA,Monona,IA,67,399.810225
463,51041,ORANGE CITY,Sioux,IA,84,184.491043
464,51044,OTO,Woodbury,IA,97,89.839583
465,51046,PAULLINA,O'Brien,IA,71,240.918039
466,51047,PETERSON,Clay,IA,21,200.078951
467,51048,PIERSON,Woodbury,IA,97,86.240685
468,51049,QUIMBY,Cherokee,IA,18,113.097948
469,51050,REMSEN,Plymouth,IA,75,353.266814
470,51051,RODNEY,Monona,IA,67,8.740209
471,51052,SALIX,Woodbury,IA,97,159.659315
472,51053,SCHALLER,Sac,IA,81,195.513267
473,51054,SERGEANT BLUFF,Woodbury,IA,97,106.329025
474,51055,SLOAN,Woodbury,IA,97,174.692448
475,51056,SMITHLAND,Woodbury,IA,97,88.932213
476,51058,SUTHERLAND,O'Brien,IA,71,214.786027
477,51060,UTE,Monona,IA,67,156.247108
478,51061,WASHTA,Cherokee,IA,18,121.628171
479,51062,WESTFIELD,Plymouth,IA,75,144.594267
480,51063,WHITING,Monona,IA,67,162.058438
481,51101,SIOUX CITY,Woodbury,IA,97,3.138764
482,51103,SIOUX CITY,Woodbury,IA,97,27.86321
483,51104,SIOUX CITY,Woodbury,IA,97,20.00953
484,51105,SIOUX CITY,Woodbury,IA,97,15.825592
485,51106,SIOUX CITY,Woodbury,IA,97,81.702782
486,51108,SIOUX CITY,Woodbury,IA,97,116.455967
487,51109,SIOUX CITY,Woodbury,IA,97,49.159557
488,51111,SIOUX CITY,Woodbury,IA,97,17.993387
489,51201,SHELDON,O'Brien,IA,71,295.817592
490,51230,ALVORD,Lyon,IA,60,64.875507
491,51231,ARCHER,O'Brien,IA,71,73.029493
492,51232,ASHTON,Osceola,IA,72,156.638511
493,51234,BOYDEN,Sioux,IA,84,129.274507
494,51235,DOON,Lyon,IA,60,144.971909
495,51237,GEORGE,Lyon,IA,60,249.759921
496,51238,HOSPERS,Sioux,IA,84,118.831336
497,51239,HULL,Sioux,IA,84,171.513941
498,51240,INWOOD,Lyon,IA,60,263.161609
499,51241,LARCHWOOD,Lyon,IA,60,232.767886
500,51242,LESTER,Lyon,IA,60,1.181066
501,51243,LITTLE ROCK,Lyon,IA,60,139.238401
502,51244,MATLOCK,Sioux,IA,84,0.778428
503,51245,PRIMGHAR,O'Brien,IA,71,203.413241
504,51246,ROCK RAPIDS,Lyon,IA,60,424.515402
505,51247,ROCK VALLEY,Sioux,IA,84,289.650577
506,51248,SANBORN,O'Brien,IA,71,214.49695
507,51249,SIBLEY,Osceola,IA,72,324.74321
508,51250,SIOUX CENTER,Sioux,IA,84,186.398963
509,51301,SPENCER,Clay,IA,21,406.942409
510,51331,ARNOLDS PARK,Dickinson,IA,30,7.12251
511,51333,DICKENS,Clay,IA,21,170.365473
512,51334,ESTHERVILLE,Emmet,IA,32,491.781068
513,51338,EVERLY,Clay,IA,21,189.29993
